SLRID,longitude,latitude,shape,scale,lambda,thresh,dataset
1600,38.93555,-5.598958,-0.537611844086554,0.335864350922413,24.5555555555584,1.73458223425815,Kirezci
1009400400,39.69727,-4.036458,-0.522352140556979,0.311605713510721,25.0833333333347,1.69653083260341,Kirezci
1009400400,39.46289,-4.505208,-0.536728121753347,0.319646104837071,24.9444444444457,1.70907508456783,Kirezci
1009400400,39.99023,-3.359374,-0.505616482855337,0.302075582513176,25.500000000002,1.68194787802303,Kirezci
1009400400,39.87305,-3.671874,-0.50607223895427,0.303678379110796,25.4444444444423,1.69579447897991,Kirezci
1009200420,41.57227,-1.692708,-0.534465692805518,0.287906176655868,26.1111111111141,1.55238370944741,Kirezci
1009000420,42.33398,-0.5989576,-0.514103033388168,0.272285304062612,26.6388888888907,1.50128643777249,Kirezci
1009000440,43.38867,0.4947927,-0.518486649696423,0.259074277969077,27.166666666665,1.45163218714637,Kirezci
1007400980,97.70508,15.80729,-0.516051366399824,0.478860990690755,24.11111111111,2.59114893653987,Kirezci
1007400980,97.70508,15.33854,-0.579937927348752,0.48955917631691,22.8611111111077,2.44515272286786,Kirezci
1007800980,98.58398,12.52604,-0.630808725487148,0.510611769564352,23.6388888888872,2.29538597007451,Kirezci
1008401000,100.2832,6.067709,-0.508884808570279,0.221938903662701,26.8611111111137,1.20134101674706,Kirezci
1008401000,100.3418,5.963542,-0.500696523674447,0.21560753566098,26.7499999999999,1.17329505129318,Kirezci
1009001200,119.9121,0.4427091,-0.578232672485726,0.212217460135975,27.7777777777757,1.1508122148314,Kirezci
1009201200,119.3262,-1.380208,-0.525738118132374,0.18935458051754,28.250000000005,1.07235467844618,Kirezci
1009201200,119.3555,-1.927083,-0.504457523876214,0.180402774839784,28.0833333333353,1.03300578805419,Kirezci
1009601200,120.2637,-5.078124,-0.501792668408371,0.138891729817097,29.4166666666656,0.85268448394408,Kirezci
1009401200,120.4395,-3.619791,-0.532300244357593,0.147683203957698,29.1666666666716,0.869094864516165,Kirezci
1009401200,120.3809,-3.463541,-0.534145737020821,0.148618603429176,29.0833333333332,0.86978532680831,Kirezci
1009401200,120.3223,-3.151041,-0.526184438314723,0.153007524292773,28.9444444444454,0.891167276394375,Kirezci
1008801240,124.834,1.588542,-0.551107092475373,0.202478526088544,27.5277777777735,1.11103277064126,Kirezci
1009001240,123.6914,0.8854174,-0.528394024844402,0.200569908695383,27.694444444443,1.12490430647118,Kirezci
1006002460,-113.7305,29.32292,-0.547705435299282,0.407650958990481,26.2222222222251,1.66865721548554,Kirezci
1005802460,-114.7559,31.58854,-0.589525462940716,0.731248298946615,23.4444444444461,2.98676163997653,Kirezci
1005802460,-113.877,31.58854,-0.55411460005352,0.680315901317942,23.6111111111107,2.76343911608081,Kirezci
1006002480,-112.7637,30.02604,-0.510870572752776,0.439291969703121,25.5833333333362,1.88134627561533,Kirezci
1571,-82.88086,8.151042,-0.509234212261129,0.277114190228917,21.444444444444,1.52082402757634,Kirezci
1008202780,-81.70898,8.046876,-0.509389955217398,0.302506386812492,21.4722222222207,1.69103285045767,Kirezci
581,-79.77539,8.619792,-0.510890289289326,0.380737221269495,20.9444444444425,2.23376493580124,Kirezci
